Encoding	Decoding
525.0005	276.0003
527.0005	5430.0054
622.0006	5383.0054
525.0005	5413.0054
525.0005	5440.0054
525.0005	5454.0055
523.0005	283.0003
525.0005	279.0003
529.0005	5401.0054
526.0005	5437.0054
615.0006	5424.0054
526.0005	5452.0055
526.0005	5451.0055
525.0005	5398.0054
526.0005	5421.0054
618.0006	5420.0054
526.0005	5474.0055
527.0005	5491.0055
527.0005	285.0003
525.0005	280.0003
526.0005	5415.0054
526.0005	5455.0055
603.0006	5447.0054
526.0005	5479.0055
527.0005	5459.0055
524.0005	3011.0030
526.0005	285.0003
529.0005	283.0003
526.0005	3010.0030
526.0005	282.0003
525.0005	282.0003
526.0005	5416.0054
530.0005	322.0003
625.0006	296.0003
526.0005	1592.0016
527.0005	5446.0054
527.0005	3032.0030
526.0005	283.0003
526.0005	281.0003
525.0005	3053.0031
527.0005	418.0004
526.0005	279.0003
526.0005	5445.0054
525.0005	5439.0054
522.0005	5450.0054
527.0005	4721.0047
526.0005	460.0005
525.0005	280.0003
527.0005	-994560.9946
523.0005	5434.0054
525.0005	5446.0054
528.0005	5441.0054
526.0005	327.0003
527.0005	455.0005
526.0005	270.0003
527.0005	5425.0054
527.0005	285.0003
525.0005	281.0003
525.0005	5457.0055
525.0005	323.0003
623.0006	300.0003
525.0005	284.0003
627.0006	5422.0054
